Id,Address,Sold Price,Summary,Type,Year built,Heating,Cooling,Parking,Lot,Bedrooms,Bathrooms,Full bathrooms,Total interior livable area,Total spaces,Garage spaces,Region,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed On,Listed Price,Last Sold On,Last Sold Price,City,Zip,State
56,3145 Turk Blvd APT 101,1490000,"This exceptional Lone Mountain home offers a rare opportunity to own a spacious three-bedroom, two-bathroom condominium in a boutique elevator building.  This contemporary home features 1,630 square feet of living space, three spacious bedrooms, two luxurious bathrooms with timeless finishes, and an extraordinary open dining and living room with gas fireplace. The chef's kitchen is an entertainer's delight with oversized breakfast bar, custom cabinetry and top-of-the-line appliances. Additional features include ample closet and storage space, large laundry room, deeded storage unit, parking, amazing shared garden ready for entertaining and view roof deck. This premier Lone Mountain location  is just steps away from the vibrant  restaurants, boutique cafes and  entertainment offered by Balboa Street  & Arguello Boulevard. It's also within  close proximity to many San Francisco  landmarks and cultural institutions  such as Golden Gate Park, USF,  and the  De Young Museum.",Condo,0,Electric,,"Garage Door Opener, Independent, On Site",,3,2,2,1630,1,1,San Francisco,New Traditions Elementary School,8,0.5,Roosevelt Middle School,9,0.3,Wallenberg (Raoul) Traditional High School,7,0.8,"Stone, Wood",Electric,,"Dishwasher, Range Hood, Microwave",Inside Room,"Garage Door Opener, Independent, On Site",,,2019/9/13,1649000,,,San Francisco,94118,CA
57,1018 S Gretna Green Way,4550000,"Located in the heart of Brentwood, this 5 bedroom 6 bathroom brand new modern farmhouse was built and designed by Ivy League architect Phil Rezvani with Dinali Construction. Included in this open floor plan are many high end custom finishes you are sure to love! Enjoy an indoor/outdoor feel in the spacious living room/kitchen, where custom pocket doors lead out to an inviting backyard complete with a pool, cabana, barbecue, and firepit.The expansive master suite has access to a large private balcony, luxurious master bath with vanity and oversized shower and a freestanding bathtub. The home also includes a luxurious high end theater to watch your favorite movies in, as well as a Control4 system, accompanied by security cameras throughout. This home has everything a buyer could ever dream of!",SingleFamily,2019,Central,"Central Air, Dual, Heat Pump",Garage - Attached,8300,5,6,6,4700,0,0,Los Angeles,,,,Paul Revere Middle School,7,1.8,University Senior High School Charter,6,0.5,Wood,Central,"Central Air, Dual, Heat Pump","Barbecue, Dishwasher, Disposal, Microwave, Water Purifier, Built-In, Gas Cooktop, Double Oven, Gas Oven, Dryer",Laundry Room,Garage - Attached,2499000,30136,2019/8/8,4795000,2018/7/17,2450000,Los Angeles,90049,CA
58,895 Indiana St,1175000,"Spacious and bohemian brick and timber loft in one of San Francisco's trendiest neighborhood. Single car garage parking included, private front and back yard. Large shared common area and courtyard, dog park, gym and theatre. Brand new appliances and meticulously maintained. 5m walking to UCSF and K/T Transit.

Flexibility on lease length.",Apartment,2009,,,Garage - Detached,,1,,,1000,0,0,San Francisco,,,,,,,S.F. International High School,2,0.6,Hardwood,,,"Dryer, Washer",In Unit,Garage - Detached,1220388,15523,2016/6/25,1095000,2016/7/22,1150000,San Francisco,94107,CA
59,457 Seaview Dr,1600000,"Looking for VIEWS? This spacious 3 bed 2 bath home sits on a 6,000 sqft. corner lot with breathtaking panoramic views of the ocean. This light & bright property features vaulted ceilings & brand new carpet throughout. 2 beds & 1 bath on entry level. Master suite on second floor with huge walk-in closet. Not only is there a garden area with various exotic fruit trees, there is also an extra large pool in the backyard. Love the ocean? You are not going to want to pass this one up. Neighborhoods: Out of Area Equipment:  Dryer, Washer Other Fees: 0 Sewer:  Sewer Connected Topography: LL",SingleFamily,1966,"Natural Gas, Forced Air",None,"Driveway, Gated, Direct Access, Garage Faces Front, Garage Faces Rear, Garage Faces Side, Garage - Two Door, Garage Door Opener",6229,3,2,2,1927,6,2,Aptos,Rio Del Mar Elementary School,8,1.2,,,,Aptos High School,7,2.2,,"Natural Gas, Forced Air",None,"Dishwasher, Refrigerator, 6 Burner Stove, Gas Oven","Gas Dryer Hookup, Laundry Room","Driveway, Gated, Direct Access, Garage Faces Front, Garage Faces Rear, Garage Faces Side, Garage - Two Door, Garage Door Opener",631680,7830,2019/9/26,2195000,1994/11/30,419500,Aptos,95003,CA
60,417 Portofino Dr,2789000,"Turnkey investment opportunity mid-San Carlos Hills location on cul-de-sac w/views, fully leased, cash flow positive. The building consists of (4) 2 bedroom, 2bath, approx. 1,200 +/- sq.ft. spacious remodeled units. Interior upgrades include double-pane windows throughout. New Roof, 08/2019. Coin-operated laundry on premises.",MultiFamily,1963,Central Forced Air - Gas,None,"Garage, Carport",,,0,,5037,0,0,San Carlos,Heather Elementary School,8,0.2,Tierra Linda Middle School,8,1.3,Carlmont High School,9,1.3,"Hardwood, Laminate","Forced air, Gas",None,"Dishwasher, Garbage disposal",Coin Operated,"Garage, Carport",1530002,21809,2019/8/25,2789000,1996/6/17,500058,San Carlos,94070,CA
61,49 Blanca Ln SPC 57,160000,"Centrally located in Watsonville, this 1444 square foot mobile home is priced to sell! Plenty of room to add a third bedroom or enjoy the current open layout with plenty of room to entertain. Affordably priced to allow buyers money for new flooring and interior paint.",MobileManufactured,1975,Gas,Ceiling Fan,0 spaces,,2,2,2,1440,0,0,Watsonville,H. A. Hyde Elementary School,3,0.5,Cesar E. Chavez Middle School,2,0.8,Pajaro Valley High School,3,2,,Gas,,,Hookups Only,,,,2019/10/23,199900,,,Watsonville,95076,CA
62,250 E 61st St,585000,"EXCELLENT INVESTMENT OPPORTUNITY:  4 clean units - All 1 bed, 1bath, 2,720 total sq. ft, in good condition. 3 of the 4 units have long term tenants that will remain.  1 of the 4 units is remodeled and is offered for lease at $1,250 a month or could be delivered before leasing it. Inside washer and dryer with an exterior entrance on all four units. Located close to all transportation.   Don't miss this great opportunity to own your own investment property.    This property is located in a designated ""Opportunity Zone"" with capital gains tax saving incentives (to be verified with your accountant).",MultiFamily,1948,Wall Furnace,None,,,,,,2720,5,5,Los Angeles,,,,Mary Mcleod Bethune Middle School,2,0.5,,,,,Wall Furnace,None,,"Gas Dryer Hookup, Inside, Washer Hookup",,698700,8736,2019/11/15,585000,2019/3/29,10000,Los Angeles,90003,CA
63,14815 Mcvay Ave,129000,"14815 Mcvay Ave, San Jose, CA 95127 is a single family home that contains 1,475 sq ft and was built in 1960. It contains 3 bedrooms and 2 bathrooms. This home last sold for $129,000 in January 2020. 
 
The Zestimate for this house is $994,924. The Rent Zestimate for this home is $3,500/mo.",SingleFamily,1960,"Other, Gas",Central,"Garage, Garage - Attached, Covered",7361,3,2,,1475,2,2,San Jose,Horace Cureton Elementary School,4,0.3,Joseph George Middle School,3,0.2,James Lick High School,4,1.1,"Tile, Carpet","Other, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",,"Garage, Garage - Attached, Covered",741778,10356,2015/3/4,675000,2015/5/28,665000,San Jose,95127,CA
64,2391 Rollingwood Dr,1150000,"Located in the idyllic Rollingwood enclave, this dual-level home has undergone updating offering serenity, functionality, & value. The enticing kitchen features composite counters, brilliant maple cabinetry, as well as stainless appliances including a five-burner gas stove with modern stainless hood, French door refrigerator and stainless dishwasher. The kitchen opens to a large side yard level grass play area and deck offering views of San Bruno Mountain with copious areas for entertaining. Adjacent the kitchen is a dedicated dining area & large living room with rich granite facade fireplace. Down the hallway is an updated bath along with three spacious bedrooms, including an Owner's ensuite with its own stylish bath & seamless shower enclosure. Exclusive to the home, is a substantial bonus room addition & full bath which has a separate entrance from a lower patio making an ADU a real possibility. A ""MUST SEE"".",SingleFamily,1955,Central Forced Air - Gas,Central,"Underground/Basement, Garage - Attached, Covered",6534,4,3,3,1475,2,2,San Bruno,Rollingwood Elementary School,4,0.1,,,,Capuchino High School,6,2.5,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",In Garage,"Underground/Basement, Garage - Attached, Covered",154269,1804,2019/11/18,998000,2003/5/13,172000,San Bruno,94066,CA
65,4328 Chase Ave,1364000,"Originally built in 1940's and expanded in the 2000's this Mar Vista home has some great features; including vaulted ceilings reaching 12' high. Original hardwood floors throughout and a detached garage that is currently being used as an art studio. One of the most special features is the gorgeous mature foliage surrounding the front and backyard to truly make you feel as though you are in a private oasis. This 2 bed 2 bath single story home is located on a great quiet street, walking distance to amazing restaurants and local shops, and minutes from the beach.This is perfect for anyone who wants to move in right away while also maintaining the opportunity to create their own Californian retreat.",SingleFamily,1941,Central,,Driveway,,2,2,1,1525,0,0,Los Angeles,Short Avenue Elementary School,6,0.2,Marina Del Rey Middle School,2,0.6,Venice Senior High School,6,1,Wood,Central,,,In Garage,Driveway,543414,6711,2019/9/14,1550000,2001/9/21,370000,Los Angeles,90066,CA
66,15264 Oak Creek Rd,799500,"Country living at its finest! Tucked away in the Prather hills on 10 acres, you will find this stunning home with incredible stone-work throughout. Upon entering this home, you are greeted by an updated kitchen complete with top of the line stainless-steel appliances, granite countertops, stunning views of the backyard, and open to the great room. The great room is the perfect place to entertain w/ beautiful wood ceiling & brick fireplace as the focal point. The Master suite includes fireplace, built-in entertainment cabinet, spa-like bathroom w/ stunning walk-in shower with dual shower, soaker tub, & 2 walk-in closets. 2 additional bedrooms- one with large closets & balcony, and the other downstairs with private access to backyard. The backyard is an entertainers paradise & truly breathtaking with custom rock waterfall into the pool with beautiful stone work, outdoor kitchen, and large grassy areas. Surrounded by beautiful views of the Sierras, don't miss out on this incredible home",SingleFamily,1998,Forced air,Central,"Work/Shop Area, Auto Opener",435600,3,3,2,3593,0,0,Urban,Foothill Elementary,6,4,,,,Sierra High School,6,6.5,"Tile, Hardwood",Forced air,Central,,Inside,"Garage, Garage - Attached",420536,4314,2019/6/6,929000,,,Prather,93651,CA
67,1026 Folsom St UNIT A,425000,Ground Floor corner unit with direct exterior access.  Owned by a designer who customized every detail for maximum utility.  Locked bicycle storage.  Large screen flat TV included as well as mini kitchen in a cabinet!  Abundant storage.  Available furnished or empty.,Condo,2001,Electric,,None,,0,1,1,307,0,0,San Francisco,Daniel Webster Elementary School,5,1.3,Lick (James) Middle School,3,2.4,,,,Simulated Wood,Electric,,Microwave,,None,,,2019/12/2,425000,,,San Francisco,94103,CA
68,3945 Globe Ave,170000,"Huge Price Reduction! Beautiful and Move-in Ready! Complete renovation done tastefully with a Designer's Eye creating a warm and welcoming ambiance.  Kitchen has new Quartz counter tops & custom tile back splash with all-new self-closing cabinets, stainless steel appliances with 5-burner stove, plus stainless refrigerator & attached pantry. New paint and flooring throughout home; other features include recessed lighting, custom mirrored wardrobe designs in both bedrooms, Rain glass doors, custom tiled walls, tile work accents & designer light fixtures.  Bathroom is a showcase with double sink units, custom tile work, and designer colors.  Laundry room is attached to kitchen for your convenience, and side entrance leads to private driveway and detached two-car garage (newly dry-walled). Grounds have all new water-conserving landscape, original red-brick BBQ in back yard & updated electrical panel, stained concrete front driveway, and possible RV access. Located on a cul-de-sac, this extra large lot provides lots of space to create your own private oasis.  Complete new exterior paint, and newer dual a/c and heater unit. This home is conveniently located to major shopping, freeway access, and top-rated schools.",SingleFamily,1948,"Other, Gas",Central,"Garage, Covered",6499,2,1,1,1021,2,2,Culver City,La Ballona Elementary School,6,0.5,Culver City Middle School,7,1,Culver City High School,8,0.9,"Softwood, Tile, Concrete","Other, Gas",Central,"Dishwasher, Garbage disposal, Refrigerator",,"Garage, Covered",866813,10813,2015/10/26,895000,2016/8/25,819900,Culver City,90230,CA
69,2222 Avenue Of The Stars UNIT 1902,3200000,"Very rare stunning corner double unit with drop dead city and ocean views in the iconic I.M. Pei Century Towers.  Located in the heart of Century City, this airy, open unit has a wonderful flowing floor plan.  Recently gutted, and remodeled, this unit is ready to satisfy your fussiest client. This unit has a versatile floor plan which can be used either as a 4 bedroom, 3bdr + den, 2bdr+den+office or 1bdr+den+office+maids. The kitchen has a center island which looks out to a very large balcony overlooking the golf course, city and ocean.  An entertainers dream! This is a 24 hour full service guard gated building with doorman, valet parking,tennis courts, fitness center sauna, outdoor swimming pool and beautiful grounds.  A prime location close to Beverly Hills, Century City and freeways.",Condo,1964,Central,Central Air,"Garage - Two Door, Valet",,4,4,2,3230,0,0,Los Angeles,Westwood Charter Elementary School,9,1.4,,,,University Senior High School Charter,6,3.3,"Tile, Wood",Central,Central Air,"Dishwasher, Disposal","Inside, See Remarks","Garage - Two Door, Valet",2177177,26367,2019/9/10,3295000,2013/12/5,1165000,Los Angeles,90067,CA
70,2674 Bon Bon Dr,940000,"Beautiful single family home located in the highly desirable Evergreen area. This 4 bedroom, 3 bathroom home demonstrates the pride of ownership throughout, with newly installed granite kitchen countertops. The open floor plan offers a large kitchen with natural light with a breakfast area opening into family room with a wood burning fireplace, wet bar, and guest bathroom. Home also features tile flooring, double pane windows, central heating, laundry facilities in garage, oversized master bedroom, separate living room. Beautiful front yard Landscaping with extra Fenced/Private front yard. The large backyard offers a relaxing atmosphere with plenty of mature fruit trees including lemon, orange, pear, peach, apricot and plum. Property has an extra storage area 10x10 enclosed & secured. Area schools: Cedar elementary, Quimby Oak Middle & highly desired Evergreen High School. Easy access to highways 101 & 680, minutes away from Eastridge mall, High tech firms, Churches, Shops & Markets.",SingleFamily,1966,Central Forced Air,None,"Garage, Garage - Attached, Covered",6050,4,3,2,1853,2,2,San Jose,Cedar Grove Elementary School,5,0.2,Quimby Oak Middle School,7,0.9,Evergreen Valley High School,9,1.2,"Tile, Laminate, Carpet",Forced air,None,,In Garage,"Garage, Garage - Attached, Covered",198530,4152,2019/7/12,974950,,,San Jose,95148,CA
71,318 Main St UNIT 4A,840000,"Great opportunity for first-time home buyers, those looking for a pied-a-tierre or for investors. Well laid out junior one bedroom at the coveted Lumina. Walking into Unit A4A there is a generous open kitchen, dining and entertaining area. Ample space to enjoy a glass of wine with friends. Decompress after work with the tranquil interior courtyard views. Unit features include Nest Learning Thermostat, European Porcelain Tile, Volakas Marble Countertop and Caesarstone Countertops as well as Gaggenau Appliances. A4A features a semi-enclosed bedroom with enviable closet space.  In unit washer dryer and one car parking complete this unit. Building services include doorman and approximately an acre of amenities including but not limited to pool, climbing wall, gym, conference rooms. This is one of the most economically priced units at The Lumina and offers a great entry point for Buyers and Investors into this world class community.",Condo,2015,,,"Enclosed, Side By Side, Valet, Side by Side, On Site",,1,1,1,,1,1,San Francisco,Daniel Webster Elementary School,5,1.8,Lick (James) Middle School,3,3.5,Five Keys Independence High School (Sf Sheriff's),2,1,"Carpet, Tile",,,Dishwasher,,"Enclosed, Side By Side, Valet, Side by Side, On Site",,,2019/9/20,899000,,,San Francisco,94105,CA
72,21 Loma Ave,690000,"Quaint 2 Bedroom 1 Bath Beach Cottage nestled in wonderful La Selva Beach Community. Property has undergone extensive updates- new paint, flooring, kitchen cabinets, countertops, appliances, bathroom remodel and much more. Ideal vacation rental, weekend retreat or first time home - great potential with large lot/ side yard that can be used for future remodel/ expansion!  Lot spans two streets, main entrance on Loma Ave with rear entrance and large parking area and storage shed on Sells Dr.",SingleFamily,1950,Central Forced Air,None,"Carport, Covered",7405,2,1,1,900,1,1,Watsonville,Valencia Elementary School,6,3.3,,,,Aptos High School,7,2.4,"Tile, Laminate","Forced air, Gas",None,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",Outside,"Carport, Covered",165903,2122,2019/10/13,728000,,,Watsonville,95076,CA
73,6527 Ferguson Dr,525000,"Lovely 3 bedroom 2 bath home, many updates throughout this wonderful home including a newly built master bedroom with an amazing master bathroom. Beautiful glass shower doors, and a modern look throughout the whole house. Recent LG Solar panels, never pay an electric bill again! Solar panels will be paid in full with sale. Detached 2 car garage and long driveway for plenty of parking, Nice outside area for family gatherings and entertaining friends. Very nice clean home, you'll fall in love with the home and all the upgrades.",SingleFamily,1942,,None,Garage,4064,3,2,2,1176,2,2,Commerce,Montebello Park Elementary School,4,0.3,,,,Schurr High School,5,1.3,,,None,,Common Area,Garage,525000,7316,2019/11/20,525000,2009/10/16,240000,Los Angeles,90022,CA
74,2950 Rosemary Ln,1250000,"Outstanding opportunity to own a single level updated duplex in one of the strongest rental markets in the Nation. Desirable unit mix of (2) 2bd/1bth units. Each unit has a private rear yard, single car garage, fireplace, forced air heating, dual pane windows, & individual water heaters.  Convenient central location near Downtown Campbell with quick access to highways. Both units have a functional floor-plan with lots of natural light.  One of the units is vacant & ready for a tenant at market rent.",MultiFamily,1958,Central Forced Air - Gas,None,"Garage, Garage - Attached, Covered",,,0,,1919,2,2,San Jose,Castlemont Elementary School,6,0.4,Monroe Middle School,4,0.8,Del Mar High School,5,1.2,,"Forced air, Gas",None,,Hookups Only,"Garage, Garage - Attached, Covered",701074,10503,2019/11/7,1335000,2013/5/15,215000,San Jose,95128,CA
75,4336 Moore St,1050000,"Three bedroom one bath mid-century Culver City home located just minutes from Marina del Rey and the Pacific Shore..close to everything!  Living room with beautiful hardwood flooring that extends through most of the home.  Fully remodeled kitchen with custom cabinets and built in appliances.  Attached service porch with laundry.  Dual glazed windows throughout.  Good size yard with large, mature trees and detached garage.  Add some affordable landscaping to the yard for an inviting and comfortable oasis.  Great feel to this home with the close proximity to the ocean..just a couple of miles inland",SingleFamily,1953,,,Garage - Two Door,4226,3,1,1,1077,0,0,Los Angeles,La Ballona Elementary School,6,2,Culver City Middle School,7,2.2,Culver City High School,8,2.1,Wood,,,"Dishwasher, Microwave, Washer",Laundry Room,Garage - Two Door,448662,6129,2019/10/3,1167000,1999/5/21,313000,Los Angeles,90066,CA
76,7198 Via Corona,890000,"Welcome to this lovely home in the well sought after Los Paseos neighborhood. This beautiful home has open floor plan with bright natural lighting.  Updated spacious kitchen will be a great place for wonderful gatherings and conversations. Home features 3 beds, 2 full baths,  Dual Pane Windows, Water Softener, Recess Lighting, Crown Molding and updated Laminate Flooring.  Home is conveniently close to School, Park, Shopping, 101, 85 freeways.  Relax in a well maintained backyard and enjoy some seasonal fruits.  This is a wonderful home not to be missed.",SingleFamily,1977,Central Forced Air,None,"Garage, Garage - Attached, Covered",6120,3,2,2,1271,2,2,San Jose,Los Paseos Elementary School,5,0.3,Martin Murphy Middle School,5,0.4,Ann Sobrato High School,7,7.5,"Tile, Laminate",Forced air,None,"Garbage disposal, Microwave, Refrigerator",In Garage,"Garage, Garage - Attached, Covered",696597,9212,2019/11/12,888000,2007/11/27,580000,San Jose,95139,CA
77,541 Quartz St,1410000,"Charming 1927 home in fantastic neighborhood 1 mile from downtown Redwood City and Caltrain. Close to both highway 280 and 101. Fenced yard with plenty of off-street parking and detached 2 car garage. Raised garden beds, edible landscaping, covered patios. Biweekly yard service and water, sewer, garbage included.

Includes 2 car garage. Owner pays for water, sewer, garbage and biweekly basic yard maintenance. Potential tenants will be responsible for a $35 non-refundable credit/background check through Transunion Smartmove for each adult over 18 prior to execution of the 6 month lease agreement. Pets considered.",SingleFamily,1927,Gas,Central,"Garage, On-street, Covered",7906,2,1,,710,6,6,Redwood City,John Gill Elementary School,6,0.2,John F. Kennedy Middle School,5,0.8,Sequoia High School,6,0.8,Laminate,"Forced air, Gas",Central,Washer,In Unit,"Garage, On-street, Covered",80741,38,2019/11/19,1230800,,,Redwood City,94062,CA
78,575-577 17th Ave,2430000,"This two units are fully renovated down to the studs, insulated , double pane windows and etc.   The main unit offers 3 bedrooms and 3.5 baths,  a modern  kitchen that features Thermador stainless steel appliances with good size of island, a large living room with the fireplace , dining room , and office space. The third floor which hosts three suites, generous size Master  suite and walk-in closet.   The  lower cosy unit feature with two suits directly run down to the garden, practical  kitchen and eating area and living room.","3 Story, Duplex",1914,"Forced air, Gas",Central,"Garage, Auto Door, Deck",,5,5,,2583,0,0,San Francisco,Argonne Elementary School,8,0.1,Presidio Middle School,8,0.9,Washington (George) High School,7,0.9,Hardwood,"Forced air, Gas",Central,"Dishwasher, Refrigerator",,,1664640,20690,2019/10/4,2590000,2018/6/7,1600000,San Francisco,94121,CA
79,998 Burnett Ave,1850000,"Large corner lot w/2084 sqft of living space. Offering a total of 4 bd, 3 baths & 2 kitchens w/ attached 2 car garage. Tastefully renovated & w/ permits, this gem is truly move in ready. Approaching this home, you see that exterior has been transformed! Stucco, fresh paint & wood sidings brings life again to this once modest facade. All new dual pane windows & updated garage doors open an abundance of natural light within. Street level-1 bd & 1 bath in law unit w/ its separate entrance & can be accessed from the home. Upstairs-3 bd/ 2 baths w/ hardwood floors throughout. The marriage of the kitchen, dining & living is the perfect entertainment space. Fully equipped w/ Thermador SS appliances, large island w/ built in beverage center/microwave & plenty of storage/prep areas makes a novice cook to master chef blush to showcase their masterpiece. Fenced/ landscaped this space is your own personal oasis. Peace of mind knowing your children/pets are safe at play. Endless possibilities!",SingleFamily,1965,Gravity,No Air Conditioning,"Garage Door Opener, Attached",3484.8,4,3,,2084,2,2,San Francisco,Clarendon Alternative Elementary School,8,0.8,Presidio Middle School,8,3.5,,,,"Hardwood Flrs Throughout, Tile, Vinyl",Gravity,No Air Conditioning,"Gas Water Heater, Dishwasher, Disposal, Microwave, Refrigerator","220 Volt Outlet, Hookups Only","Garage Door Opener, Attached",1855808,22981,2019/11/2,1695000,2019/7/31,1318000,San Francisco,94131,CA
80,1535 Gordon St,1775000,"Development opportunity. Super Prime location in the heart of Hollywood crossing Sunset. R4 zoning, Tier 3 TOC. Current structure is a Owner Occupied Single Family residence. No need for Tenant Relocation! Property is also situated in the highly desired Opportunity Zone; which offers major tax benefits to 1031 Exchange buyers.  Property has a Q Condition which limits the development to 600 sq ft per Unit.  Multiple Bonus Density incentives may be applied to the lot as follows: TOC (70%), SB1818 (35%) Newly Developed properties in the vicinity collecting over 4$ a sq ft in rents! Situated in the Core sectors of All that Hollywood has to offer; Bars, Restaurant, theaters, clubs, & much more. Buyer to do their own due diligence.",SingleFamily,1940,None,,Driveway,6361,2,1,1,805,0,0,Los Angeles,Grant Elementary School,4,0.4,Joseph Le Conte Middle School,3,0.3,Hollywood Senior High School,6,1.3,,None,,,None,Driveway,347416,4351,2019/7/1,2100000,,,Los Angeles,90028,CA
81,3324 Marchese Ct,1050000,"6 Bedroom/ 2 Bathroom Home Remodeled in 2007 and currently used as a Care Facility.   Kitchen has Granite Counters, Dishwasher, Gas Oven/Range, Refrigerator, Microwave, Recessed Lighting and Tile Floors. Central Forced Air Heating and Air Conditioning.  Family room converted to 2 bedrooms.  Handicap Accessible. Easy Access to Freeways, Expressways, The New Apple Campus and many High Tech Companies.  Low Santa Clara Utilities.",SingleFamily,1960,"Forced air, Gas",Central,"Garage, Garage - Attached, Covered",6255,6,2,2,1605,1,1,Santa Clara,Briarwood Elementary School,7,0.7,Juan Cabrillo Middle School,6,1.2,Adrian Wilcox High School,7,0.2,"Tile, Laminate","Forced air, Gas",Central,"Dryer, Microwave, Range / Oven, Refrigerator, Washer",In Garage,"Garage, Garage - Attached, Covered",880935,10580,2017/12/8,1099950,2005/8/9,705000,Santa Clara,95051,CA
82,5114 Melrose Ave,927500,"Enjoy stunning views of the downtown skyline, Hollywood Sign & Griffith Park Observatory from this 2 bdrm + office/den, 2.5 bth state of the art       home built in 2014.  Conveniently located w/in walking distance of Larchmont Village, Miracle Mile, Paramount Studios & trendy restaurants & shops.  This home boasts an attached 2 car garage w/ electric car charger, double paned windows throughout, private office/den (w/eng hdwd firs) on its own level, powder rm & gourmet kitchen with stainless steel appliances & center island. Open flr plan kitchen, dining & lvg rms (all w/eng hdwd firs) allows easy entertaining. The master suite has a spa like bath & walk in closet while the private guest bdrm has an en suite bath. Enjoy CA weather from a   huge grass roof deck w/ projector, screen & several outdoor seating & dining areas. The home is wired for an alarm system & network ready. This is a detached end home w/no common walls in a gated community",SingleFamily,2014,Central,Central Air,Garage - Two Door,,2,3,2,1520,2,2,Los Angeles,Van Ness Avenue Elementary School,6,0.3,Joseph Le Conte Middle School,3,0.8,Fairfax Senior High School,7,3,"Carpet, Wood, Tile",Central,Central Air,"Dishwasher, Microwave, Refrigerator",Inside,Garage - Two Door,838486,10234,2019/10/25,949000,,,Los Angeles,90038,CA
83,828 N El Camino Real,584000,"Beautifully upgraded one bedroom condo situated within minutes of downtown Burlingame, CalTrain station and Highway 101.  Enjoy your privacy in this single story, spacious end unit with only one attached neighbor, located close to the elevator.  Featuring an open, bright, newly painted living area with warm designer colors, wood-style laminate & carpet flooring, crown moldings and plantation shutters.  Dining area/kitchen updates includes stainless steel appliances, granite countertops and backsplash.  Bathroom has new vanity/sink and fixtures.  This small 16-unit complex includes a sparkling swimming pool, spa, recreation room, laundry on-site, secured building access, dedicated secure parking space, and extra storage closet.  This condo is perfect to start out or downsizing or investing.

Its central location is uniquely convenient: you can walk to Caltrain, and downtown Burlingame shopping.",Condo,1974,"Electric, Baseboard",None,"Garage, Carport, Off-street, Covered",,1,1,1,776,1,1,San Mateo,San Mateo Park Elementary School,4,0.3,Borel Middle School,6,2,San Mateo High School,7,0.7,"Tile, Laminate, Carpet","Baseboard, Electric",None,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator",Community Facility,"Garage, Carport, Off-street, Covered",561815,7522,2019/10/26,598000,2017/6/30,540000,San Mateo,94401,CA
84,1707 Almond Blossom Ln,1498000,"Here is your chance to rent for the first time a beautifully remodeled home in San Jose, 2 blocks away from Los Gatos with the following features...

- 4 bedrooms
- 2 bathrooms
- Remodeled kitchen featuring stainless steel appliances, granite counters, new cabinets, kitchen island, 
- new flooring, baseboards/crown molding, recessed lighting, ceiling fans
- 2 car garage
- copper plumbing
- fully upgraded in 2015, March. 
- Close to Netflix, Good Samaritan hospital, Noddin/Union middle school districts 
San Jose, 2 blocks away from Los Gatos. 

- Sorry no pets of any kind

- Minimum One (1) year lease
- NO Pets
- NO Smoking
- NO Section 8",SingleFamily,1959,"Forced air, Electric","Central, Wall","Garage, Garage - Attached, Covered",6777,4,2,2,1440,2,2,San Jose,Noddin Elementary School,7,0.4,Union Middle School,9,1.6,Leigh High School,8,0.9,"Tile, Hardwood","Forced air, Electric","Central, Wall","Dishwasher, Dryer, Freezer, Garbage disposal, Range / Oven, Refrigerator, Trash compactor, Washer",,"Garage, Garage - Attached, Covered",1320566,17880,2019/11/25,1488888,,,San Jose,95124,CA
85,300 3rd St APT 606,1142000,"Another Price Reduction.  A great opportunity to own One of the largest 2BD/2BA at Museum Parc located on the very quiet courtyard with views of the greenery. . Very large Master Bedroom area including 4 closets, a Master Bath with separate Bath and Stall Shower and a very large Bedroom. Completely separate from the 2nd Bedroom and Bath. The Living and Dining Area encompasses an unusually large area looking out the the courtyard. The new owner has a opportunity to create their own environment.",Condo,1990,Baseboard,,"Attached, Garage Door Opener, Side By Side, Side by Side, On Site - Lease Available (Condo Only)",,2,2,2,1387,1,1,San Francisco,Daniel Webster Elementary School,5,1.4,Lick (James) Middle School,3,3,Five Keys Independence High School (Sf Sheriff's),2,0.4,"Carpet, Tile",Baseboard,,"Dishwasher, Disposal, Range Hood, Microwave",Laundry Closet,"Attached, Garage Door Opener, Side By Side, Side by Side, On Site - Lease Available (Condo Only)",498875,6861,2019/9/7,1300000,1997/3/18,335000,San Francisco,94107,CA
